"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","html-keyboard-response","280","529693","0.0-5.0-0.70","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","281","533155","0.0-5.0-1.70","3461","[""videos/fast_low_c12_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","282","534158","0.0-5.0-0.71","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","283","538440","0.0-5.0-1.71","4281","[""videos/slow_high_c3_tan.mov""]","j","response","false"
"","","","","","html-keyboard-response","284","538943","0.0-5.0-0.72","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","285","541019","0.0-5.0-1.72","2075","[""videos/fast_med_c15_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","286","541520","0.0-5.0-0.73","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","287","543686","0.0-5.0-1.73","2164","[""videos/med_low_c12_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","288","544438","0.0-5.0-0.74","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","289","547614","0.0-5.0-1.74","3174","[""videos/fast_low_c14_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","290","548788","0.0-5.0-2.74-0.74","1174","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","291","549539","0.0-5.0-0.75","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","292","555139","0.0-5.0-1.75","5599","[""videos/med_high_c8_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","293","555640","0.0-5.0-0.76","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","294","557989","0.0-5.0-1.76","2348","[""videos/slow_low_c7_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","295","558741","0.0-5.0-0.77","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","296","560578","0.0-5.0-1.77","1835","[""videos/slow_high_c1_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","297","561580","0.0-5.0-0.78","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","298","564217","0.0-5.0-1.78","2636","[""videos/med_med_c7_teal_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","299","564969","0.0-5.0-0.79","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","300","568026","0.0-5.0-1.79","3055","[""videos/fast_high_c11_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","301","568777","0.0-5.0-0.80","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","302","570474","0.0-5.0-1.80","1695","[""videos/med_high_c6_tan_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","303","571226","0.0-5.0-0.81","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","304","573828","0.0-5.0-1.81","2601","[""videos/med_high_c3_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","305","574580","0.0-5.0-0.82","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","306","576836","0.0-5.0-1.82","2255","[""videos/fast_high_c12_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","307","577588","0.0-5.0-0.83","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","308","582160","0.0-5.0-1.83","4571","[""videos/fast_med_c15_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","309","582913","0.0-5.0-0.84","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","310","586309","0.0-5.0-1.84","3395","[""videos/med_high_c5_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","311","587311","0.0-5.0-0.85","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","312","589344","0.0-5.0-1.85","2032","[""videos/med_low_c9_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","313","590096","0.0-5.0-0.86","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","314","591652","0.0-5.0-1.86","1554","[""videos/fast_low_c5_pink_mirror.mov""]","f","response","false"
