"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","483","851778","0.0-7.0-1.24","1204","[""videos/fast_med_c14_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","484","852531","0.0-7.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","485","853845","0.0-7.0-1.25","1313","[""videos/med_med_c14_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","486","854346","0.0-7.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","487","855936","0.0-7.0-1.26","1588","[""videos/fast_high_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","488","856687","0.0-7.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","489","858023","0.0-7.0-1.27","1335","[""videos/fast_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","490","859026","0.0-7.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","491","860401","0.0-7.0-1.28","1374","[""videos/fast_low_c16_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","492","861152","0.0-7.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","493","862371","0.0-7.0-1.29","1218","[""videos/slow_low_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","494","863373","0.0-7.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","495","864454","0.0-7.0-1.30","1079","[""videos/med_high_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","496","865594","0.0-7.0-2.30-0.30","1140","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","497","866095","0.0-7.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","498","867351","0.0-7.0-1.31","1254","[""videos/slow_med_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","499","867853","0.0-7.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","500","869156","0.0-7.0-1.32","1302","[""videos/med_low_c10_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","501","869657","0.0-7.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","502","870978","0.0-7.0-1.33","1320","[""videos/med_low_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","503","871731","0.0-7.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","504","873069","0.0-7.0-1.34","1337","[""videos/slow_low_c7_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","505","873569","0.0-7.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","506","878458","0.0-7.0-1.35","4887","[""videos/med_high_c10_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","507","878959","0.0-7.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","508","880328","0.0-7.0-1.36","1368","[""videos/med_high_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","509","881080","0.0-7.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","510","882409","0.0-7.0-1.37","1328","[""videos/med_high_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","511","882911","0.0-7.0-0.38","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","512","884225","0.0-7.0-1.38","1312","[""videos/fast_low_c17_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","513","884976","0.0-7.0-0.39","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","514","886384","0.0-7.0-1.39","1407","[""videos/slow_med_c5_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","515","887386","0.0-7.0-0.40","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","516","888918","0.0-7.0-1.40","1531","[""videos/fast_high_c10_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","517","889419","0.0-7.0-0.41","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","518","890733","0.0-7.0-1.41","1312","[""videos/fast_med_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","519","891233","0.0-7.0-0.42","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","520","892522","0.0-7.0-1.42","1287","[""videos/fast_med_c17_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","521","893274","0.0-7.0-0.43","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","522","894575","0.0-7.0-1.43","1301","[""videos/med_low_c8_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","523","895327","0.0-7.0-0.44","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","524","896574","0.0-7.0-1.44","1245","[""videos/med_high_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","525","897075","0.0-7.0-0.45","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","526","898374","0.0-7.0-1.45","1298","[""videos/fast_med_c16_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","527","898875","0.0-7.0-0.46","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","528","900138","0.0-7.0-1.46","1262","[""videos/fast_med_c15_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","529","900639","0.0-7.0-0.47","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","530","902435","0.0-7.0-1.47","1795","[""videos/med_low_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","531","903188","0.0-7.0-0.48","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
