"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","175","322281","0.0-5.0-1.78","1498","[""videos/fast_high_c11_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","176","323283","0.0-5.0-0.79","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","177","324669","0.0-5.0-1.79","1384","[""videos/slow_low_c2_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","178","325422","0.0-5.0-0.80","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","179","326939","0.0-5.0-1.80","1516","[""videos/fast_med_c17_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","180","327941","0.0-5.0-0.81","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","181","329353","0.0-5.0-1.81","1411","[""videos/med_med_c6_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","182","330355","0.0-5.0-0.82","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","183","331623","0.0-5.0-1.82","1266","[""videos/med_med_c1_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","184","332375","0.0-5.0-0.83","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","185","333869","0.0-5.0-1.83","1492","[""videos/slow_med_c10_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","186","334370","0.0-5.0-0.84","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","187","336142","0.0-5.0-1.84","1771","[""videos/fast_low_c16_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","188","336644","0.0-5.0-0.85","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","189","337912","0.0-5.0-1.85","1267","[""videos/slow_high_c2_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","190","338664","0.0-5.0-0.86","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","191","340184","0.0-5.0-1.86","1518","[""videos/fast_med_c13_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","192","340686","0.0-5.0-0.87","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","193","341931","0.0-5.0-1.87","1244","[""videos/med_low_c2_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","194","342933","0.0-5.0-0.88","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","195","344441","0.0-5.0-1.88","1507","[""videos/med_low_c7_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","196","345442","0.0-5.0-0.89","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","197","347406","0.0-5.0-1.89","1963","[""videos/med_high_c7_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","198","348408","0.0-5.0-0.90","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
