"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","105","139743","0.0-5.0-1.44","1016","[""videos/med_low_c8_tan.mov""]","j","response","false"
"","","","","","html-keyboard-response","106","140496","0.0-5.0-0.45","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","107","141542","0.0-5.0-1.45","1044","[""videos/slow_high_c13_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","108","142294","0.0-5.0-0.46","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","109","143774","0.0-5.0-1.46","1478","[""videos/med_med_c4_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","110","144276","0.0-5.0-0.47","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","111","146484","0.0-5.0-1.47","2207","[""videos/slow_low_c4_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","112","146986","0.0-5.0-0.48","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","113","148138","0.0-5.0-1.48","1151","[""videos/slow_low_c4_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","114","148640","0.0-5.0-0.49","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","115","150027","0.0-5.0-1.49","1386","[""videos/slow_med_c2_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","116","151029","0.0-5.0-0.50","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","117","152089","0.0-5.0-1.50","1058","[""videos/fast_high_c17_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","118","152591","0.0-5.0-0.51","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","119","155501","0.0-5.0-1.51","2909","[""videos/slow_med_c4_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","120","156503","0.0-5.0-0.52","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","121","157698","0.0-5.0-1.52","1193","[""videos/fast_low_c15_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","122","158449","0.0-5.0-0.53","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","123","159347","0.0-5.0-1.53","897","[""videos/med_med_c11_tan.mov""]","j","response","false"
"","","","","","html-keyboard-response","124","160099","0.0-5.0-0.54","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","125","161905","0.0-5.0-1.54","1805","[""videos/med_high_c6_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","126","162541","0.0-5.0-2.54-0.54","636","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","127","163294","0.0-5.0-0.55","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","128","164677","0.0-5.0-1.55","1382","[""videos/fast_low_c12_tan.mov""]","j","response","false"
"","","","","","html-keyboard-response","129","165679","0.0-5.0-0.56","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","130","167199","0.0-5.0-1.56","1517","[""videos/slow_high_c2_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","131","167700","0.0-5.0-0.57","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","132","169420","0.0-5.0-1.57","1719","[""videos/fast_low_c5_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","133","170171","0.0-5.0-0.58","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","134","171476","0.0-5.0-1.58","1303","[""videos/med_high_c7_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","135","171976","0.0-5.0-0.59","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","136","173582","0.0-5.0-1.59","1604","[""videos/slow_med_c4_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","137","174584","0.0-5.0-0.60","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","138","176953","0.0-5.0-1.60","2368","[""videos/fast_med_c14_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","139","177705","0.0-5.0-0.61","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","140","179991","0.0-5.0-1.61","2284","[""videos/med_low_c16_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","141","180492","0.0-5.0-0.62","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","142","182805","0.0-5.0-1.62","2313","[""videos/fast_high_c10_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","143","183808","0.0-5.0-0.63","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","144","186054","0.0-5.0-1.63","2245","[""videos/med_high_c5_purple.mov""]","j","response","false"
"","","","","","html-keyboard-response","145","186806","0.0-5.0-0.64","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","146","188091","0.0-5.0-1.64","1284","[""videos/slow_med_c2_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","147","188844","0.0-5.0-0.65","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","148","189784","0.0-5.0-1.65","939","[""videos/fast_high_c15_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","149","190536","0.0-5.0-0.66","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","150","191931","0.0-5.0-1.66","1393","[""videos/fast_low_c14_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","151","192431","0.0-5.0-0.67","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","152","194954","0.0-5.0-1.67","2522","[""videos/med_low_c5_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","153","195456","0.0-5.0-0.68","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","154","196834","0.0-5.0-1.68","1377","[""videos/med_low_c5_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","155","197586","0.0-5.0-0.69","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","156","198695","0.0-5.0-1.69","1107","[""videos/slow_high_c6_tan.mov""]","j","response","false"
"","","","","","html-keyboard-response","157","199447","0.0-5.0-0.70","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","158","200911","0.0-5.0-1.70","1462","[""videos/slow_low_c3_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","159","201413","0.0-5.0-0.71","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","160","209047","0.0-5.0-1.71","7632","[""videos/med_high_c13_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","161","209547","0.0-5.0-0.72","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","162","211232","0.0-5.0-1.72","1683","[""videos/fast_med_c16_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","163","212235","0.0-5.0-0.73","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","164","215223","0.0-5.0-1.73","2987","[""videos/med_med_c4_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","165","215724","0.0-5.0-0.74","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","166","216727","0.0-5.0-1.74","1002","[""videos/med_med_c14_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","167","219721","0.0-5.0-2.74-0.74","2993","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","168","220222","0.0-5.0-0.75","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","169","221750","0.0-5.0-1.75","1526","[""videos/slow_low_c1_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","170","222502","0.0-5.0-0.76","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","171","223592","0.0-5.0-1.76","1089","[""videos/slow_low_c5_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","172","224595","0.0-5.0-0.77","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","173","226508","0.0-5.0-1.77","1911","[""videos/fast_med_c11_teal_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","174","227510","0.0-5.0-0.78","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","175","228604","0.0-5.0-1.78","1093","[""videos/fast_low_c16_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","176","229606","0.0-5.0-0.79","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
