"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","479","641836","0.0-7.0-1.22","1401","[""videos/slow_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","480","642588","0.0-7.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","481","643726","0.0-7.0-1.23","1136","[""videos/fast_high_c11_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","482","644728","0.0-7.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","483","646129","0.0-7.0-1.24","1400","[""videos/med_med_c14_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","484","647132","0.0-7.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","485","648327","0.0-7.0-1.25","1194","[""videos/med_med_c7_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","486","648829","0.0-7.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","487","649999","0.0-7.0-1.26","1168","[""videos/med_med_c11_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","488","650750","0.0-7.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","489","651580","0.0-7.0-1.27","829","[""videos/slow_med_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","490","652081","0.0-7.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","491","653326","0.0-7.0-1.28","1243","[""videos/slow_med_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","492","654328","0.0-7.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","493","655806","0.0-7.0-1.29","1476","[""videos/med_low_c10_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","494","656558","0.0-7.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","495","657682","0.0-7.0-1.30","1123","[""videos/med_high_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","496","659690","0.0-7.0-2.30-0.30","2007","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","497","660191","0.0-7.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","498","661178","0.0-7.0-1.31","986","[""videos/fast_high_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","499","661930","0.0-7.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","500","663136","0.0-7.0-1.32","1205","[""videos/med_med_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","501","663639","0.0-7.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","502","664730","0.0-7.0-1.33","1090","[""videos/med_low_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","503","665732","0.0-7.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","504","666550","0.0-7.0-1.34","817","[""videos/fast_med_c14_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","505","667552","0.0-7.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","506","668487","0.0-7.0-1.35","934","[""videos/fast_low_c14_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","507","669238","0.0-7.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","508","670114","0.0-7.0-1.36","874","[""videos/fast_med_c15_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","509","671116","0.0-7.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","510","672403","0.0-7.0-1.37","1285","[""videos/med_low_c9_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","511","673405","0.0-7.0-0.38","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
